startHoleTime,AveRotPressure,drilledMeters,rigSerial,endHoleTime,AvePenetrRate,status,AveDampPressure,AveFlushPressure,reDrillStatus,holeID,Software,currentShift,AvePercPressure,AveFeedPressure
31/01/2025 23:55,38.83632432432432,3.897,0,01/02/2025 00:00,1.914,Success,0,13.865675675675675,0,35,6.28.1,2025-01-31 N,13.865675675675675,39.45254054054054
01/02/2025 00:03,39.29154054054054,3.919,0,01/02/2025 00:08,1.6433513513513514,Success,0,15.30081081081081,0,36,6.28.1,2025-01-31 N,15.30081081081081,39.931378378378376
01/02/2025 00:11,37.94565789473684,3.999,0,01/02/2025 00:16,1.599578947368421,Success,0,15.119605263157894,0,37,6.28.1,2025-01-31 N,15.119605263157894,39.893605263157895
01/02/2025 00:19,40.12127027027027,3.989,0,01/02/2025 00:24,1.8443783783783785,Success,0,15.370135135135133,0,38,6.28.1,2025-01-31 N,15.370135135135133,40.19610810810811
01/02/2025 00:39,36.5395,3.975,0,01/02/2025 01:02,1.5013157894736842,Success,0,14.348684210526315,0,39,6.28.1,2025-01-31 N,14.348684210526315,39.47323684210526
01/02/2025 01:05,38.60710526315789,3.973,0,01/02/2025 01:10,1.6106052631578949,Success,0,15.189868421052632,0,40,6.28.1,2025-01-31 N,15.189868421052632,40.23968421052631
01/02/2025 01:13,40.04063157894737,3.963,0,01/02/2025 01:19,1.7599210526315787,Success,0,13.891184210526315,0,41,6.28.1,2025-01-31 N,13.891184210526315,39.868184210526316
01/02/2025 01:22,41.052473684210526,4.007,0,01/02/2025 01:31,1.9007894736842106,Success,0,15.406578947368422,0,42,6.28.1,2025-01-31 N,15.406578947368422,39.575526315789475
01/02/2025 01:34,39.32320512820513,4.093,0,01/02/2025 01:41,1.6715897435897438,Success,0,15.387692307692308,0,43,6.28.1,2025-01-31 N,15.387692307692308,40.278179487179486
01/02/2025 01:56,37.036162162162164,3.953,0,01/02/2025 02:00,1.8852702702702702,Success,0,15.118783783783783,0,45,6.28.1,2025-01-31 N,15.118783783783783,39.52445945945946
01/02/2025 02:04,39.761717948717944,4.073,0,01/02/2025 02:11,1.6132820512820512,Success,0,14.865384615384615,0,46,6.28.1,2025-01-31 N,14.865384615384615,40.90135897435898
01/02/2025 02:14,38.98595,4.177,0,01/02/2025 02:19,1.5465,Success,0,15.34575,0,47,6.28.1,2025-01-31 N,15.34575,39.785225
01/02/2025 02:22,38.367536585365855,4.321,0,01/02/2025 02:28,1.9372682926829268,Success,0,15.455853658536585,0,48,6.28.1,2025-01-31 N,15.455853658536585,39.808902439024386
01/02/2025 02:31,38.99529268292683,4.365,0,01/02/2025 02:36,1.6678780487804876,Success,0,15.246585365853658,0,49,6.28.1,2025-01-31 N,15.246585365853658,39.92590243902439
01/02/2025 02:42,43.791404761904765,4.436,0,01/02/2025 02:54,1.976047619047619,Success,0,12.72,0,50,6.28.1,2025-01-31 N,12.72,39.52128571428572
01/02/2025 03:02,40.89664285714286,4.22,0,01/02/2025 03:04,1.9426428571428571,Success,0,12.649285714285714,0,51,6.28.1,2025-01-31 N,12.649285714285714,40.070571428571434
01/02/2025 03:11,40.736975609756094,4.273,0,01/02/2025 03:17,1.4844390243902439,Success,0,15.406463414634146,0,52,6.28.1,2025-01-31 N,15.406463414634146,40.68160975609756
01/02/2025 03:27,41.55025581395349,4.445,0,01/02/2025 03:38,1.581720930232558,Success,0,14.707674418604652,0,53,6.28.1,2025-01-31 N,14.707674418604652,38.419000000000004
01/02/2025 03:52,41.14315909090909,4.631,0,01/02/2025 04:00,1.5641818181818181,Success,0,15.178977272727273,0,55,6.28.1,2025-01-31 N,15.178977272727273,42.531727272727274
01/02/2025 04:04,41.465636363636364,4.569,0,01/02/2025 04:09,1.7836818181818181,Success,0,15.007840909090909,0,56,6.28.1,2025-01-31 N,15.007840909090909,39.64675
01/02/2025 04:14,41.336687500000004,4.982,0,01/02/2025 04:21,1.2519791666666666,Success,0,16.8121875,0,57,6.28.1,2025-01-31 N,16.8121875,40.5066875
01/02/2025 04:32,41.60061702,4.914,0,01/02/2025 04:43,1.2362765957446809,Success,0,15.604787234042552,0,59,6.28.1,2025-01-31 N,15.604787234042552,40.928659574468085
01/02/2025 04:47,36.47920408163265,5.12,0,01/02/2025 04:52,1.9315714285714287,Success,0,15.568775510204082,0,60,6.28.1,2025-01-31 N,15.568775510204082,39.61540816326531
01/02/2025 04:55,42.55151020408163,5.206,0,01/02/2025 05:05,2.029081632653061,Success,0,15.445408163265308,0,61,6.28.1,2025-01-31 N,15.445408163265308,40.58740816326531
01/02/2025 05:09,38.51964705882353,5.296,0,01/02/2025 05:14,1.8158039215686272,Success,0,16.594117647058823,0,62,6.28.1,2025-01-31 N,16.594117647058823,41.23249019607843
01/02/2025 05:20,38.90551219512195,5.023,0,01/02/2025 05:48,1.506170731707317,Fail,0,14.32939024390244,0,63,6.28.1,2025-01-31 N,14.32939024390244,39.41439024390244
01/02/2025 06:00,38.35,5.004,0,01/02/2025 06:06,1.5065416666666664,Success,0,15.9553125,0,65,6.28.1,2025-02-01 D,15.9553125,40.78997916666667
01/02/2025 06:19,39.39554166666667,5.049,0,01/02/2025 06:25,1.3444583333333335,Success,0,16.323125,0,66,6.28.1,2025-02-01 D,16.323125,40.783541666666665
01/02/2025 06:28,40.22720454545455,5.138,0,01/02/2025 06:32,4.391272727272727,Success,0,12.379090909090907,0,67,6.28.1,2025-02-01 D,12.379090909090907,38.25209090909091
01/02/2025 06:35,38.24166,5.203,0,01/02/2025 06:41,1.75856,Success,0,16.8918,0,68,6.28.1,2025-02-01 D,16.8918,40.993339999999996
01/02/2025 06:46,39.564499999999995,5.129,0,01/02/2025 06:53,1.18442,Success,0,16.2546,0,69,6.28.1,2025-02-01 D,16.2546,41.11794
01/02/2025 06:56,39.93441666666667,5.023,0,01/02/2025 07:02,1.4231458333333336,Success,0,16.5153125,0,70,6.28.1,2025-02-01 D,16.5153125,41.150875
01/02/2025 07:05,40.83875,4.92,0,01/02/2025 07:08,1.2708125,Success,0,13.8984375,0,71,6.28.1,2025-02-01 D,13.8984375,40.71375
01/02/2025 07:30,39.570851063829785,5.064,0,01/02/2025 08:00,1.4190851063829788,Success,0,15.472659574468086,0,72,6.28.1,2025-02-01 D,15.472659574468086,40.49465957446809
01/02/2025 08:04,40.210408163265306,5.195,0,01/02/2025 08:10,1.833469387755102,Success,0,15.973163265306122,0,73,6.28.1,2025-02-01 D,15.973163265306122,40.91704081632653
01/02/2025 08:37,38.74801960784314,5.264,0,01/02/2025 08:44,1.0724901960784314,Success,0,16.20294117647059,0,75,6.28.1,2025-02-01 D,16.20294117647059,41.711960784313725
01/02/2025 08:47,39.10236,5.172,0,01/02/2025 08:53,1.49226,Success,0,16.1958,0,76,6.28.1,2025-02-01 D,16.1958,41.3274
01/02/2025 09:07,38.46317647058824,5.004,0,01/02/2025 09:11,1.5763235294117646,Success,0,14.90470588235294,0,78,6.28.1,2025-02-01 D,14.90470588235294,39.36185294117647
01/02/2025 09:25,38.03706122,5.079,0,01/02/2025 09:31,1.4303061224489795,Success,0,16.286632653061222,0,79,6.28.1,2025-02-01 D,16.286632653061222,41.403
01/02/2025 09:35,38.59619149,5.191,0,01/02/2025 09:40,1.6894255319148936,Success,0,15.770744680851065,0,80,6.28.1,2025-02-01 D,15.770744680851065,41.25291489361702
01/02/2025 09:47,39.90058,5.256,0,01/02/2025 09:54,2.11028,Success,0,16.476,0,81,6.28.1,2025-02-01 D,16.476,41.095299999999995
01/02/2025 10:15,36.6145,1.038,0,01/02/2025 10:16,1.5390000000000001,Fail,0,13.3305,0,83,6.28.1,2025-02-01 D,13.3305,40.6438
01/02/2025 18:23,39.82038461538461,4.092,0,01/02/2025 18:29,1.3587179487179488,Success,0,14.808461538461538,0,84,6.28.1,2025-02-01 N,14.808461538461538,39.77946153846153
01/02/2025 18:34,38.316291666666665,4.997,0,01/02/2025 18:40,1.2999166666666666,Success,0,16.0240625,0,85,6.28.1,2025-02-01 N,16.0240625,41.58483333333333
01/02/2025 18:50,35.069229166666666,5.073,0,01/02/2025 18:56,1.4095625,Success,0,16.232499999999998,0,86,6.28.1,2025-02-01 N,16.232499999999998,41.14083333333333
01/02/2025 19:01,36.54142857142857,5.086,0,01/02/2025 19:06,1.8046530612244898,Success,0,16.615102040816325,0,87,6.28.1,2025-02-01 N,16.615102040816325,40.86228571428571
01/02/2025 19:10,35.89066,5.169,0,01/02/2025 19:17,1.4973400000000001,Success,0,16.7277,0,88,6.28.1,2025-02-01 N,16.7277,40.87824
01/02/2025 20:03,36.94747368421052,3.989,0,01/02/2025 20:08,1.3069736842105264,Success,0,15.133815789473685,0,90,6.28.1,2025-02-01 N,15.133815789473685,40.32015789473684
01/02/2025 20:14,36.87287179487179,3.998,0,01/02/2025 20:20,1.048,Success,0,15.433076923076923,0,91,6.28.1,2025-02-01 N,15.433076923076923,40.50553846153846
01/02/2025 20:29,37.231658536585364,4.312,0,01/02/2025 20:34,1.3733658536585365,Success,0,15.294512195121952,0,92,6.28.1,2025-02-01 N,15.294512195121952,42.25639024390244
01/02/2025 21:29,38.42958139534883,4.471,0,01/02/2025 21:34,1.6011162790697675,Success,0,15.716511627906979,0,94,6.28.1,2025-02-01 N,15.716511627906979,40.55795348837209
01/02/2025 21:46,37.662608695652175,4.763,0,01/02/2025 21:51,1.9974782608695651,Success,0,16.74326086956522,0,96,6.28.1,2025-02-01 N,16.74326086956522,40.707869565217386
01/02/2025 21:54,38.34762790697675,4.819,0,01/02/2025 22:00,1.5711627906976744,Success,0,15.856046511627905,0,97,6.28.1,2025-02-01 N,15.856046511627905,42.318604651162794
01/02/2025 22:10,38.977000000000004,4.914,0,01/02/2025 22:15,2.489468085106383,Success,0,15.637021276595743,0,98,6.28.1,2025-02-01 N,15.637021276595743,39.58363829787234
01/02/2025 22:29,41.185522727272726,4.667,0,01/02/2025 22:34,1.6211363636363636,Success,0,15.701590909090909,0,100,6.28.1,2025-02-01 N,15.701590909090909,40.31004545454545
