rigSerial,startHoleTime,endHoleTime,currentShift,software,holeID,drilledMeters,penRate,overDrill,spatialInaccuracy,bitDiameter,GPS,posMode,anchorMode,collarMode,drillMode,activationMode,borderHoleFlag,status
RigNumber,01/02/2025 00:19,01/02/2025 00:24,2025-01-31 N,6.28.1,38,3.989405219,0.024695,0.35,0.014317821,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 00:39,01/02/2025 01:02,2025-01-31 N,6.28.1,39,3.975283386,0.021217,0.345,0.072732386,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:05,01/02/2025 01:10,2025-01-31 N,6.28.1,40,3.972637663,0.021928,0.354,0.035735137,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:13,01/02/2025 01:20,2025-01-31 N,6.28.1,41,3.962613405,0.022728,0.334,0.031048349,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:22,01/02/2025 01:31,2025-01-31 N,6.28.1,42,4.006647601,0.024403,0.331,0.033615473,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:34,01/02/2025 01:41,2025-01-31 N,6.28.1,43,4.092641323,0.020442,0.291,0.04596738,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:44,01/02/2025 01:49,2025-01-31 N,6.28.1,44,4.244313019,0.027487,0.329,0.052325901,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 01:56,01/02/2025 02:01,2025-01-31 N,6.28.1,45,3.953488965,0.02511,0.341,0.04501111,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 02:04,01/02/2025 02:11,2025-01-31 N,6.28.1,46,4.072586647,0.014239,0.331,0.026832816,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 02:14,01/02/2025 02:19,2025-01-31 N,6.28.1,47,4.176843425,0.022343,0.345,0.035777087,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 02:22,01/02/2025 02:28,2025-01-31 N,6.28.1,48,4.321493492,0.025059,0.354,0.013928388,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 02:31,01/02/2025 02:36,2025-01-31 N,6.28.1,49,4.364559084,0.022751,0.351,0.018384776,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 02:42,01/02/2025 02:55,2025-01-31 N,6.28.1,50,4.435713471,0.025388,0.329,0.023086794,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 03:02,01/02/2025 03:09,2025-01-31 N,6.28.1,51,4.219805801,0.025533,0.349,0.028160256,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 03:11,01/02/2025 03:18,2025-01-31 N,6.28.1,52,4.272630688,0.021145,0.333,0.023259407,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 03:27,01/02/2025 03:38,2025-01-31 N,6.28.1,53,4.444976603,0.021639,0.337,0.037443291,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 03:41,01/02/2025 03:49,2025-01-31 N,6.28.1,54,4.360606609,0.021074,0.293,0.072249567,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 03:52,01/02/2025 04:01,2025-01-31 N,6.28.1,55,4.630734283,0.014066,0.34,0.042296572,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:04,01/02/2025 04:09,2025-01-31 N,6.28.1,56,4.568552725,0.02456,0.36,0.023,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:14,01/02/2025 04:21,2025-01-31 N,6.28.1,57,4.982264846,0.018239,0.324,0.037,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:23,01/02/2025 04:29,2025-01-31 N,6.28.1,58,4.846937693,0.024885,0.338,0.033600595,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:32,01/02/2025 04:44,2025-01-31 N,6.28.1,59,4.913524397,0.010251,0.343,0.039812058,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:47,01/02/2025 04:52,2025-01-31 N,6.28.1,60,5.120463358,0.02683,0.34,0.047507894,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 04:55,01/02/2025 05:06,2025-01-31 N,6.28.1,61,5.205819148,0.010264,0.332,0.048083261,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 05:09,01/02/2025 05:15,2025-01-31 N,6.28.1,62,5.296052964,0.023657,0.328,0.017804493,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 05:20,01/02/2025 05:49,2025-01-31 N,6.28.1,63,5.023490918,0.02226,0.353,0.044102154,165,0,None,None,None,1,None,0,Fail
RigNumber,01/02/2025 05:51,01/02/2025 05:58,2025-01-31 N,6.28.1,64,5.048723106,0.022036,0.346,0.03088689,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:00,01/02/2025 06:06,2025-02-01 D,6.28.1,65,5.00370113,0.02255,0.348,0.034234486,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:19,01/02/2025 06:25,2025-02-01 D,6.28.1,66,5.048893839,0.020378,0.341,0.01603122,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:28,01/02/2025 06:33,2025-02-01 D,6.28.1,67,5.138391383,0.039475,0.352,0.002828427,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:35,01/02/2025 06:41,2025-02-01 D,6.28.1,68,5.203197959,0.024342,0.329,0.03106445,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:46,01/02/2025 06:53,2025-02-01 D,6.28.1,69,5.128538681,0.018338,0.343,0.103585713,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 06:56,01/02/2025 07:03,2025-02-01 D,6.28.1,70,5.022652486,0.021399,0.342,0.050990195,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 07:05,01/02/2025 07:27,2025-02-01 D,6.28.1,71,4.91959043,0.019475,0.326,0.043908997,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 07:30,01/02/2025 08:01,2025-02-01 D,6.28.1,72,5.063666458,0.019137,0.337,0.021023795,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 08:04,01/02/2025 08:10,2025-02-01 D,6.28.1,73,5.194894224,0.025979,0.366,0.032249031,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 08:13,01/02/2025 08:30,2025-02-01 D,6.28.1,74,5.22108188,0.016049,0.348,0.066030296,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 08:37,01/02/2025 08:44,2025-02-01 D,6.28.1,75,5.264294255,0.015785,0.341,0.04767599,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 08:47,01/02/2025 08:54,2025-02-01 D,6.28.1,76,5.171594145,0.020485,0.328,0.026627054,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 08:56,01/02/2025 09:04,2025-02-01 D,6.28.1,77,5.075021773,0.016857,0.326,0.046065171,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 09:07,01/02/2025 09:18,2025-02-01 D,6.28.1,78,5.003735605,0.022205,0.325,0.017720045,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 09:25,01/02/2025 09:32,2025-02-01 D,6.28.1,79,5.078750732,0.021497,0.333,0.039293765,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 09:35,01/02/2025 09:43,2025-02-01 D,6.28.1,80,5.190667105,0.023949,0.334,0.075026662,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 09:47,01/02/2025 09:54,2025-02-01 D,6.28.1,81,5.256372609,0.025241,0.313,0.034481879,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 10:04,01/02/2025 10:10,2025-02-01 D,6.28.1,82,5.174476592,0.020416,0.354,0.028160256,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 10:15,01/02/2025 10:16,2025-02-01 D,6.28.1,83,1.038255267,0,-3.695,0.030265492,165,1,None,None,None,0,None,0,Fail
RigNumber,01/02/2025 18:23,01/02/2025 18:29,2025-02-01 N,6.28.1,84,4.092473091,0.017884,0.338,0.06720863,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 18:34,01/02/2025 18:40,2025-02-01 N,6.28.1,85,4.996685501,0.019024,0.339,0.038639359,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 18:50,01/02/2025 18:57,2025-02-01 N,6.28.1,86,5.073162525,0.020423,0.328,0.145962324,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 19:01,01/02/2025 19:07,2025-02-01 N,6.28.1,87,5.085782241,0.027036,0.329,0.015297059,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 19:10,01/02/2025 19:17,2025-02-01 N,6.28.1,88,5.168734468,0.021622,0.344,0.03138471,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 19:45,01/02/2025 19:56,2025-02-01 N,6.28.1,89,3.939962056,0.01675,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 20:03,01/02/2025 20:09,2025-02-01 N,6.28.1,90,3.989012534,0.017547,0.345,0.029154759,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 20:14,01/02/2025 20:21,2025-02-01 N,6.28.1,91,3.998032516,0.015437,0.32,0.037215589,165,1,None,None,None,1,None,1,Success
RigNumber,01/02/2025 20:29,01/02/2025 21:04,2025-02-01 N,6.28.1,92,4.312338229,0.016639,0.335,0.027,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 21:15,01/02/2025 21:20,2025-02-01 N,6.28.1,93,4.39101412,0.022466,0.326,0.056859476,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 21:29,01/02/2025 21:35,2025-02-01 N,6.28.1,94,4.47073428,0.02316,0.333,0.032015621,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 21:37,01/02/2025 21:43,2025-02-01 N,6.28.1,95,4.564526701,0.021113,0.335,0.038600518,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 21:46,01/02/2025 21:52,2025-02-01 N,6.28.1,96,4.76335533,0.0258,0.346,0.002,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 21:54,01/02/2025 22:07,2025-02-01 N,6.28.1,97,4.818652716,0.01642,0.341,0.042296572,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:10,01/02/2025 22:15,2025-02-01 N,6.28.1,98,4.913729948,0.028386,0.33,0.050289163,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:20,01/02/2025 22:26,2025-02-01 N,6.28.1,99,4.625701028,0.018931,0.332,0.031048349,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:29,01/02/2025 22:35,2025-02-01 N,6.28.1,100,4.667388349,0.023536,0.341,0.012,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:37,01/02/2025 22:43,2025-02-01 N,6.28.1,101,4.683111893,0.021379,0.323,0.045221676,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:46,01/02/2025 22:52,2025-02-01 N,6.28.1,102,4.836938391,0.02097,0.324,0.095880133,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 22:54,01/02/2025 23:01,2025-02-01 N,6.28.1,103,5.13432459,0.024017,0.312,0.019235384,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 23:03,01/02/2025 23:13,2025-02-01 N,6.28.1,104,5.141381429,0.015386,0.318,0.006324555,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 23:16,01/02/2025 23:22,2025-02-01 N,6.28.1,105,5.2079471,0.024318,0.367,0.016552945,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 23:27,01/02/2025 23:34,2025-02-01 N,6.28.1,106,4.836706007,0.018544,0.355,0.06835203,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 23:36,01/02/2025 23:56,2025-02-01 N,6.28.1,107,4.81247587,0.017603,0.349,0.020024984,165,1,None,None,None,1,None,0,Success
RigNumber,01/02/2025 23:58,02/02/2025 00:04,2025-02-01 N,6.28.1,108,4.858735329,0.024198,0.34,0.012999999,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 00:07,02/02/2025 00:14,2025-02-01 N,6.28.1,109,4.928886487,0.01886,0.314,0.048301138,165,1,None,None,None,1,None,0,Success
