AutoClean,BetweenADIA,AutoNavigationIsActive_C,ReducedFeedForceJacksNotOnGround,MoistureContentCollar,STB State E-Stop,EadJamRpmTimeout,EadLowRpmJamEscape_C,startCycleTime,EadVibrationJamEscape,AutoDrill_C,EadTorqueJamEscape_C,EvBitInGround,AvePercPressure,AutoDrillIsActive,DB_TORQUE_MAX,STB State Local Manual,STB State Remote Autonomous,BZ EndtoSetup,AvePenetrRate,EadJamLowFlushTimeout_C,AveDampPressure,AutoDelevel,penRate,AutoCleanInHole_Count,MaxNoOfJamExceededError,rigSerial,MoistureContentClean,STB State Remote Allocated,JamCount,AutoDrill2Enabled,EadJamRpmTimeout_C,status,AirFlowReturn,EadJamAirPressTimeout,EadAirPressureJamEscape_C,DelayInCycle,EadTorqueJamEscape,RemotePropelEStop2_Manual,AutoDrillIsActive_C,drilledMeters,activationMode,endHoleTime,Software,PropelState,BY HoleTime,EndHoleTimeInADPE,currentShift,endCycleTime,anchorMode,AutoLevel_C,Local,BetweenAD,GPS,DrillState,AutoCleanInHole,STB State Remote Switched,spatialInaccuracy,Jam,software,posMode,EadJamRotationTorqueTimeout,TotalCycleTime,Remote,AutoCollar,EadJamAirPressTimeout_C,bitDiameter,BX DrillToStart,EadLowPenrateJamEscape_C,EadJamVibrationTimeout_C,AutoLevel,Intervention,AveFlushPressure,ManualJacks,AutoDrill,AutoDelevel_C,AveFeedPressure,reDrillStatus,AutoNavigationIsActive,EadJamLowFlushTimeout,AutoRetract,Target_depth,ResetTargetDepth,RemotePropelEStop2_Remote,DB_TORQUE_SET,EadAirPressureJamEscape,EadJamVibrationTimeout,EadLowPenrateJamEscape,DB_RPM_MAX,InterventionCount,MaxNoOfJamExceededError_C,collarMode,ParkState,EadJamRotationTorqueTimeout_C,overDrill,EndHoleTimeInAutoDrill,BA BitToGround,SetupState,AveRotPressure,drillMode,EadVibrationJamEscape_C,startHoleTime,MoistureContentDrill,EadLowRpmJamEscape,borderHoleFlag
95,0,0,0,0,0,0,0,01/02/2025 02:02,0,2,0,0,14.865384615384615,0,0,0,628,37,1.6132820512820512,0,0,0,0.014239,3,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.072586647,None,01/02/2025 02:11,6.28.1,0,469,0,2025-01-31 N,01/02/2025 02:13,None,0,0,618,1,0,85,0,0.026832816,0,6.28.1,None,0,628,628,256,0,165,4,0,0,0,0,14.865384615384615,0,11,0,40.90135897435898,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.331,0,0,0,39.761717948717944,1,0,01/02/2025 02:04,0,0,0
68,0,0,0,0,0,0,0,01/02/2025 02:13,0,1,0,0,15.34575,0,0,0,485,37,1.5465,0,0,0,0.022343,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.176843425,None,01/02/2025 02:19,6.28.1,0,325,0,2025-01-31 N,01/02/2025 02:21,None,0,0,462,1,0,58,0,0.035777087,0,6.28.1,None,0,485,485,256,0,165,4,0,0,0,0,15.34575,0,22,0,39.785225,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.345,0,0,0,38.98595,1,0,01/02/2025 02:14,0,0,0
69,0,0,0,0,0,0,0,01/02/2025 02:21,0,1,0,0,15.455853658536585,0,0,0,524,38,1.9372682926829268,0,0,0,0.025059,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.321493492,None,01/02/2025 02:28,6.28.1,0,371,0,2025-01-31 N,01/02/2025 02:29,None,0,0,504,1,0,59,0,0.013928388,0,6.28.1,None,0,524,524,276,0,165,4,0,0,0,0,15.455853658536585,0,22,0,39.808902439024386,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.354,0,0,0,38.367536585365855,1,0,01/02/2025 02:22,0,0,0
65,0,0,0,0,0,0,0,01/02/2025 02:29,0,1,0,0,15.246585365853658,0,0,0,666,210,1.6678780487804876,0,0,0,0.022751,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.364559084,None,01/02/2025 02:36,6.28.1,0,336,0,2025-01-31 N,01/02/2025 02:40,None,0,0,465,1,0,59,0,0.018384776,0,6.28.1,None,0,666,666,262,0,165,5,0,0,0,0,15.246585365853658,0,27,0,39.92590243902439,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.351,0,0,0,38.99529268292683,1,0,01/02/2025 02:31,0,0,0
98,0,0,0,0,0,0,0,01/02/2025 02:40,0,2,0,0,12.72,0,0,0,992,155,1.976047619047619,0,0,0,0.025388,2,0,0,0,78,0,0,0,Success,0,0,0,0,0,0,0,4.435713471,None,01/02/2025 02:55,6.28.1,0,795,0,2025-01-31 N,01/02/2025 02:58,None,0,0,1069,1,0,95,0,0.023086794,0,6.28.1,None,0,1070,1070,302,0,165,5,0,0,0,0,12.72,0,20,0,39.52128571428572,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.329,0,0,0,43.791404761904765,1,0,01/02/2025 02:42,0,0,0
68,0,0,0,0,0,0,0,01/02/2025 02:58,0,1,0,0,12.649285714285714,0,0,0,651,37,1.9426428571428571,0,0,0,0.025533,2,0,0,0,42,0,0,0,Success,0,0,0,0,0,0,0,4.219805801,None,01/02/2025 03:09,6.28.1,0,403,0,2025-01-31 N,01/02/2025 03:10,None,0,0,821,1,0,58,0,0.028160256,0,6.28.1,None,0,693,693,280,0,165,5,0,0,0,0,12.649285714285714,0,20,0,40.070571428571434,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.349,0,0,0,40.89664285714286,1,0,01/02/2025 03:02,0,0,0
70,0,0,0,0,0,0,0,01/02/2025 03:10,0,1,0,0,15.406463414634146,0,0,0,538,37,1.4844390243902439,0,0,0,0.021145,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.272630688,None,01/02/2025 03:18,6.28.1,0,381,0,2025-01-31 N,01/02/2025 03:19,None,0,0,517,1,0,60,0,0.023259407,0,6.28.1,None,0,538,538,287,0,165,5,0,0,0,0,15.406463414634146,0,25,0,40.68160975609756,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.333,0,0,0,40.736975609756094,1,0,01/02/2025 03:11,0,0,0
72,0,0,0,0,0,0,0,01/02/2025 03:19,0,1,0,0,14.707674418604652,0,0,0,839,37,1.581720930232558,0,0,0,0.021639,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.444976603,None,01/02/2025 03:38,6.28.1,0,667,0,2025-01-31 N,01/02/2025 03:39,None,0,1127,1178,1,0,62,0,0.037443291,0,6.28.1,None,0,1210,83,299,0,165,5,0,0,0,0,14.707674418604652,0,30,0,38.419000000000004,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.337,0,0,0,41.55025581395349,1,0,01/02/2025 03:27,0,0,0
29,0,0,0,0,0,0,0,01/02/2025 03:51,0,1,0,0,15.178977272727273,0,0,0,569,52,1.5641818181818181,0,0,0,0.014066,1,0,0,0,143,0,0,0,Success,0,0,0,0,0,0,0,4.630734283,None,01/02/2025 04:01,6.28.1,0,530,0,2025-01-31 N,01/02/2025 04:02,None,0,525,480,1,0,29,0,0.042296572,0,6.28.1,None,0,712,187,265,0,165,4,0,0,0,0,15.178977272727273,0,29,0,42.531727272727274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0.34,0,0,0,41.14315909090909,1,0,01/02/2025 03:52,0,0,0
72,0,0,0,0,0,0,0,01/02/2025 04:02,0,1,0,0,15.007840909090909,0,0,0,496,39,1.7836818181818181,0,0,0,0.02456,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.568552725,None,01/02/2025 04:09,6.28.1,0,335,0,2025-01-31 N,01/02/2025 04:11,None,0,0,666,1,0,62,0,0.023,0,6.28.1,None,0,496,496,259,0,165,5,0,0,0,0,15.007840909090909,0,26,0,39.64675,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.36,0,0,0,41.465636363636364,1,0,01/02/2025 04:04,0,0,0
74,0,0,0,0,0,0,0,01/02/2025 04:11,0,1,0,0,16.8121875,0,0,0,683,39,1.2519791666666666,0,0,0,0.018239,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.982264846,None,01/02/2025 04:21,6.28.1,0,417,0,2025-01-31 N,01/02/2025 04:22,None,0,0,605,1,0,64,0,0.037,0,6.28.1,None,0,683,683,292,0,165,5,0,0,0,0,16.8121875,0,73,0,40.5066875,0,0,0,27,0,0,0,0,0,0,0,0,0,0,None,0,0,0.324,0,0,0,41.336687500000004,1,0,01/02/2025 04:14,0,0,0
120,0,0,0,0,0,0,0,01/02/2025 04:30,0,1,0,0,15.604787234042552,0,0,0,873,39,1.2362765957446809,0,0,0,0.010251,4,0,0,0,19,0,0,0,Success,0,0,0,0,0,0,0,4.913524397,None,01/02/2025 04:44,6.28.1,0,732,0,2025-01-31 N,01/02/2025 04:45,None,0,0,838,1,0,110,0,0.039812058,0,6.28.1,None,0,892,892,581,0,165,5,0,0,0,0,15.604787234042552,0,52,0,40.928659574468085,0,0,0,26,0,0,0,0,0,0,0,0,0,0,None,0,0,0.343,0,0,0,41.60061702,1,0,01/02/2025 04:32,0,0,0
