startHoleTime,endHoleTime,currentShift,software,holeID,avePenetrRate,avePercPressure,aveFeedPressure,aveDampPressure,aveRotPressure,aveFlushPressure
31/01/2025 23:55,01/02/2025 00:00,2025-01-31 N,6.28.1,1,1.914,13.865675675675675,39.45254054054054,0,38.83632432432432,13.865675675675675
01/02/2025 00:03,01/02/2025 00:08,2025-01-31 N,6.28.1,2,1.6433513513513514,15.30081081081081,39.931378378378376,0,39.29154054054054,15.30081081081081
01/02/2025 00:11,01/02/2025 00:16,2025-01-31 N,6.28.1,3,1.599578947368421,15.119605263157894,39.893605263157895,0,37.94565789473684,15.119605263157894
01/02/2025 00:19,01/02/2025 00:24,2025-01-31 N,6.28.1,4,1.8443783783783785,15.370135135135133,40.19610810810811,0,40.12127027027027,15.370135135135133
01/02/2025 00:39,01/02/2025 01:02,2025-01-31 N,6.28.1,5,1.5013157894736842,14.348684210526315,39.47323684210526,0,36.5395,14.348684210526315
01/02/2025 01:05,01/02/2025 01:10,2025-01-31 N,6.28.1,6,1.6106052631578949,15.189868421052632,40.23968421052631,0,38.60710526315789,15.189868421052632
01/02/2025 01:13,01/02/2025 01:19,2025-01-31 N,6.28.1,7,1.7599210526315787,13.891184210526315,39.868184210526316,0,40.04063157894737,13.891184210526315
01/02/2025 01:22,01/02/2025 01:31,2025-01-31 N,6.28.1,8,1.9007894736842106,15.406578947368422,39.575526315789475,0,41.052473684210526,15.406578947368422
01/02/2025 01:34,01/02/2025 01:41,2025-01-31 N,6.28.1,9,1.6715897435897438,15.387692307692308,40.278179487179486,0,39.32320512820513,15.387692307692308
01/02/2025 01:56,01/02/2025 02:00,2025-01-31 N,6.28.1,10,1.8852702702702702,15.118783783783783,39.52445945945946,0,37.036162162162164,15.118783783783783
01/02/2025 02:04,01/02/2025 02:11,2025-01-31 N,6.28.1,11,1.6132820512820512,14.865384615384615,40.90135897435898,0,39.761717948717944,14.865384615384615
01/02/2025 02:14,01/02/2025 02:19,2025-01-31 N,6.28.1,12,1.5465,15.34575,39.785225,0,38.98595,15.34575
01/02/2025 02:22,01/02/2025 02:28,2025-01-31 N,6.28.1,13,1.9372682926829268,15.455853658536585,39.808902439024386,0,38.367536585365855,15.455853658536585
